trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1145294,991,4/1/2016 0:30,Embarcadero at Sansome,60,4/1/2016 0:47,Townsend at 7th,65,547,Subscriber,94109,Weekday
1145295,1164,4/1/2016 4:49,Temporary Transbay Terminal (Howard at Beale),55,4/1/2016 5:08,2nd at Townsend,61,504,Subscriber,95113,Weekday
1145296,729,4/1/2016 5:00,Market at 10th,67,4/1/2016 5:13,Washington at Kearny,46,418,Subscriber,94102,Weekday
1145297,367,4/1/2016 5:15,Steuart at Market,74,4/1/2016 5:21,Embarcadero at Sansome,60,443,Subscriber,94015,Weekday
1145298,366,4/1/2016 5:17,Market at 10th,67,4/1/2016 5:23,Townsend at 7th,65,372,Subscriber,94102,Weekday
1145299,166,4/1/2016 5:19,2nd at Folsom,62,4/1/2016 5:22,Market at Sansome,77,393,Subscriber,94107,Weekday
1145301,645,4/1/2016 5:47,Embarcadero at Bryant,54,4/1/2016 5:58,Embarcadero at Sansome,60,275,Subscriber,94105,Weekday
1145302,201,4/1/2016 5:57,Mountain View Caltrain Station,28,4/1/2016 6:00,Mountain View City Hall,27,653,Subscriber,94110,Weekday
1145303,640,4/1/2016 6:02,5th at Howard,57,4/1/2016 6:12,Steuart at Market,74,109,Subscriber,94112,Weekday
1145304,253,4/1/2016 6:02,Grant Avenue at Columbus Avenue,73,4/1/2016 6:06,Market at Sansome,77,400,Subscriber,94133,Weekday
1145305,654,4/1/2016 6:05,Powell Street BART,39,4/1/2016 6:16,Townsend at 7th,65,498,Subscriber,94107,Weekday
1145306,528,4/1/2016 6:05,Spear at Folsom,49,4/1/2016 6:14,Embarcadero at Sansome,60,411,Subscriber,94111,Weekday
1145307,566,4/1/2016 6:11,Powell Street BART,39,4/1/2016 6:20,South Van Ness at Market,66,383,Subscriber,94102,Weekday
1145308,389,4/1/2016 6:16,Embarcadero at Bryant,54,4/1/2016 6:22,2nd at Townsend,61,455,Subscriber,94105,Weekday
1145309,318,4/1/2016 6:15,Embarcadero at Bryant,54,4/1/2016 6:20,Harry Bridges Plaza (Ferry Building),50,489,Subscriber,92506,Weekday
1145310,422,4/1/2016 6:22,Harry Bridges Plaza (Ferry Building),50,4/1/2016 6:29,2nd at Townsend,61,471,Subscriber,94945,Weekday
1145319,553,4/1/2016 6:25,Embarcadero at Sansome,60,4/1/2016 6:35,2nd at Townsend,61,279,Subscriber,94111,Weekday
1145320,457,4/1/2016 6:30,Broadway St at Battery St,82,4/1/2016 6:38,2nd at Folsom,62,380,Subscriber,94111,Weekday
1145324,486,4/1/2016 6:32,Embarcadero at Folsom,51,4/1/2016 6:41,San Francisco Caltrain 2 (330 Townsend),69,534,Subscriber,94105,Weekday
1145326,299,4/1/2016 6:34,Powell at Post (Union Square),71,4/1/2016 6:39,Beale at Market,56,387,Subscriber,94123,Weekday
1145333,688,4/1/2016 6:44,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 6:55,Temporary Transbay Terminal (Howard at Beale),55,446,Subscriber,94030,Weekday
1145334,524,4/1/2016 6:44,Embarcadero at Sansome,60,4/1/2016 6:53,Temporary Transbay Terminal (Howard at Beale),55,352,Subscriber,94111,Weekday
1145335,609,4/1/2016 6:45,Townsend at 7th,65,4/1/2016 6:55,Howard at 2nd,63,372,Subscriber,94124,Weekday
1145336,530,4/1/2016 6:45,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 6:54,Spear at Folsom,49,287,Subscriber,95008,Weekday
1145337,280,4/1/2016 6:50,Embarcadero at Sansome,60,4/1/2016 6:55,Steuart at Market,74,411,Subscriber,94133,Weekday
1145338,169,4/1/2016 6:54,Temporary Transbay Terminal (Howard at Beale),55,4/1/2016 6:57,Mechanics Plaza (Market at Battery),75,619,Subscriber,94105,Weekday
1145339,569,4/1/2016 7:01,Market at 10th,67,4/1/2016 7:11,San Francisco Caltrain (Townsend at 4th),70,506,Subscriber,94103,Weekday
1145340,769,4/1/2016 7:03,Palo Alto Caltrain Station,34,4/1/2016 7:16,Park at Olive,38,68,Customer,94002,Weekday
1145341,797,4/1/2016 7:05,San Jose Diridon Caltrain Station,2,4/1/2016 7:18,San Jose City Hall,10,57,Subscriber,95113,Weekday
1145342,858,4/1/2016 7:05,Grant Avenue at Columbus Avenue,73,4/1/2016 7:19,San Francisco Caltrain (Townsend at 4th),70,497,Subscriber,94133,Weekday
1145343,473,4/1/2016 7:05,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 7:13,Harry Bridges Plaza (Ferry Building),50,406,Subscriber,94062,Weekday
1145344,843,4/1/2016 7:06,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 7:20,Commercial at Montgomery,45,16,Subscriber,95130,Weekday
1145345,5025,4/1/2016 7:06,Embarcadero at Sansome,60,4/1/2016 8:30,Townsend at 7th,65,334,Subscriber,94111,Weekday
1145346,204,4/1/2016 7:07,Grant Avenue at Columbus Avenue,73,4/1/2016 7:10,Davis at Jackson,42,291,Subscriber,94109,Weekday
1145347,645,4/1/2016 7:07,Beale at Market,56,4/1/2016 7:17,San Francisco Caltrain (Townsend at 4th),70,520,Subscriber,94530,Weekday
1145348,484,4/1/2016 7:07,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 7:15,Post at Kearny,47,468,Subscriber,94086,Weekday
1145349,406,4/1/2016 7:08,San Francisco Caltrain 2 (330 Townsend),69,4/1/2016 7:15,Spear at Folsom,49,534,Subscriber,94087,Weekday
1145350,826,4/1/2016 7:08,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 7:22,Davis at Jackson,42,444,Subscriber,94087,Weekday
1145351,200,4/1/2016 7:09,Mountain View City Hall,27,4/1/2016 7:13,Mountain View Caltrain Station,28,261,Subscriber,94110,Weekday
1145352,3002,4/1/2016 7:10,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 8:00,Commercial at Montgomery,45,382,Subscriber,95123,Weekday
1145353,708,4/1/2016 7:10,Harry Bridges Plaza (Ferry Building),50,4/1/2016 7:22,San Francisco Caltrain (Townsend at 4th),70,489,Subscriber,94939,Weekday
1145354,753,4/1/2016 7:10,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 7:23,Temporary Transbay Terminal (Howard at Beale),55,417,Subscriber,94158,Weekday
1145355,687,4/1/2016 7:10,Harry Bridges Plaza (Ferry Building),50,4/1/2016 7:22,San Francisco Caltrain (Townsend at 4th),70,408,Subscriber,94930,Weekday
1145356,234,4/1/2016 7:10,Post at Kearny,47,4/1/2016 7:14,Powell at Post (Union Square),71,477,Subscriber,94102,Weekday
1145357,322,4/1/2016 7:11,Temporary Transbay Terminal (Howard at Beale),55,4/1/2016 7:17,2nd at Townsend,61,484,Subscriber,94611,Weekday
1145358,458,4/1/2016 7:15,Grant Avenue at Columbus Avenue,73,4/1/2016 7:23,Temporary Transbay Terminal (Howard at Beale),55,342,Subscriber,94133,Weekday
1145365,335,4/1/2016 7:16,Howard at 2nd,63,4/1/2016 7:22,2nd at Townsend,61,372,Subscriber,94107,Weekday
1145366,1157,4/1/2016 7:17,Japantown,9,4/1/2016 7:36,San Jose Diridon Caltrain Station,2,202,Subscriber,95112,Weekday
1145367,299,4/1/2016 7:18,Davis at Jackson,42,4/1/2016 7:23,Embarcadero at Folsom,51,291,Subscriber,94109,Weekday
1145368,445,4/1/2016 7:19,Embarcadero at Sansome,60,4/1/2016 7:26,Harry Bridges Plaza (Ferry Building),50,385,Subscriber,94111,Weekday
1145369,688,4/1/2016 7:21,Civic Center BART (7th at Market),72,4/1/2016 7:32,San Francisco Caltrain 2 (330 Townsend),69,278,Subscriber,94582,Weekday
1145370,433,4/1/2016 7:22,Harry Bridges Plaza (Ferry Building),50,4/1/2016 7:30,Embarcadero at Sansome,60,406,Subscriber,94530,Weekday
1145371,1214,4/1/2016 7:23,Harry Bridges Plaza (Ferry Building),50,4/1/2016 7:43,San Francisco Caltrain 2 (330 Townsend),69,338,Subscriber,94501,Weekday
1145376,575,4/1/2016 7:24,Steuart at Market,74,4/1/2016 7:34,San Francisco Caltrain (Townsend at 4th),70,450,Subscriber,94803,Weekday
1145377,540,4/1/2016 7:25,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 7:34,Temporary Transbay Terminal (Howard at Beale),55,497,Subscriber,94403,Weekday
1145378,295,4/1/2016 7:25,Embarcadero at Sansome,60,4/1/2016 7:30,Harry Bridges Plaza (Ferry Building),50,620,Subscriber,94111,Weekday
1145379,539,4/1/2016 7:26,San Francisco Caltrain (Townsend at 4th),70,4/1/2016 7:35,Harry Bridges Plaza (Ferry Building),50,408,Subscriber,94403,Weekday
1145380,198,4/1/2016 7:30,Cowper at University,37,4/1/2016 7:33,Palo Alto Caltrain Station,34,143,Subscriber,94301,Weekday
1145381,420,4/1/2016 7:30,Powell Street BART,39,4/1/2016 7:37,San Francisco Caltrain 2 (330 Townsend),69,630,Subscriber,94605,Weekday
1145382,585,4/1/2016 7:31,Temporary Transbay Terminal (Howard at Beale),55,4/1/2016 7:40,Embarcadero at Sansome,60,352,Subscriber,94105,Weekday
1145383,298,4/1/2016 7:33,Santa Clara at Almaden,4,4/1/2016 7:38,San Jose Diridon Caltrain Station,2,661,Subscriber,95113,Weekday
1145384,493,4/1/2016 7:34,Embarcadero at Bryant,54,4/1/2016 7:42,San Francisco Caltrain (Townsend at 4th),70,472,Subscriber,94105,Weekday
