trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1024588,1021,12/1/2015 5:22,San Francisco Caltrain 2 (330 Townsend),69,12/1/2015 5:39,Harry Bridges Plaza (Ferry Building),50,158,Subscriber,94107,Weekday
1024589,345,12/1/2015 5:26,Market at 10th,67,12/1/2015 5:31,Townsend at 7th,65,344,Subscriber,94102,Weekday
1024590,537,12/1/2015 5:45,Civic Center BART (7th at Market),72,12/1/2015 5:54,San Francisco Caltrain 2 (330 Townsend),69,574,Subscriber,94103,Weekday
1024592,588,12/1/2015 5:53,Powell Street BART,39,12/1/2015 6:03,San Francisco Caltrain 2 (330 Townsend),69,282,Subscriber,94107,Weekday
1024593,736,12/1/2015 6:00,Market at 10th,67,12/1/2015 6:12,Davis at Jackson,42,290,Subscriber,94102,Weekday
1024595,345,12/1/2015 6:19,Broadway St at Battery St,82,12/1/2015 6:25,Harry Bridges Plaza (Ferry Building),50,445,Subscriber,94941,Weekday
1024596,396,12/1/2015 6:20,Harry Bridges Plaza (Ferry Building),50,12/1/2015 6:26,Yerba Buena Center of the Arts (3rd @ Howard),68,492,Subscriber,94105,Weekday
1024598,431,12/1/2015 6:21,Harry Bridges Plaza (Ferry Building),50,12/1/2015 6:28,2nd at Townsend,61,560,Subscriber,94945,Weekday
1024599,842,12/1/2015 6:21,Harry Bridges Plaza (Ferry Building),50,12/1/2015 6:35,South Van Ness at Market,66,439,Subscriber,94947,Weekday
1024600,210,12/1/2015 6:22,Harry Bridges Plaza (Ferry Building),50,12/1/2015 6:25,Temporary Transbay Terminal (Howard at Beale),55,188,Subscriber,94901,Weekday
1024601,321,12/1/2015 6:23,Temporary Transbay Terminal (Howard at Beale),55,12/1/2015 6:28,Commercial at Montgomery,45,422,Subscriber,94611,Weekday
1024602,437,12/1/2015 6:23,San Jose Civic Center,3,12/1/2015 6:30,San Jose Diridon Caltrain Station,2,20,Subscriber,95113,Weekday
1024605,287,12/1/2015 6:33,2nd at Townsend,61,12/1/2015 6:38,San Francisco Caltrain 2 (330 Townsend),69,560,Subscriber,95134,Weekday
1024606,363,12/1/2015 6:33,Temporary Transbay Terminal (Howard at Beale),55,12/1/2015 6:40,Broadway St at Battery St,82,395,Subscriber,94610,Weekday
1024609,339,12/1/2015 6:37,Broadway St at Battery St,82,12/1/2015 6:43,Mechanics Plaza (Market at Battery),75,506,Subscriber,94133,Weekday
1024610,498,12/1/2015 6:38,Arena Green / SAP Center,14,12/1/2015 6:46,San Jose City Hall,10,196,Subscriber,95113,Weekday
1024611,527,12/1/2015 6:39,Embarcadero at Folsom,51,12/1/2015 6:47,Embarcadero at Sansome,60,270,Subscriber,94111,Weekday
1024612,409,12/1/2015 6:41,Grant Avenue at Columbus Avenue,73,12/1/2015 6:47,Mechanics Plaza (Market at Battery),75,672,Subscriber,94133,Weekday
1024613,485,12/1/2015 6:42,Washington at Kearny,46,12/1/2015 6:50,Embarcadero at Folsom,51,391,Subscriber,95008,Weekday
1024614,881,12/1/2015 6:42,Temporary Transbay Terminal (Howard at Beale),55,12/1/2015 6:57,Market at 4th,76,188,Subscriber,94501,Weekday
1024615,1056,12/1/2015 6:44,San Francisco Caltrain (Townsend at 4th),70,12/1/2015 7:02,Temporary Transbay Terminal (Howard at Beale),55,429,Subscriber,94030,Weekday
1024616,1492,12/1/2015 6:45,San Francisco Caltrain (Townsend at 4th),70,12/1/2015 7:10,Harry Bridges Plaza (Ferry Building),50,470,Subscriber,95111,Weekday
1024617,996,12/1/2015 6:46,San Francisco Caltrain (Townsend at 4th),70,12/1/2015 7:02,Beale at Market,56,331,Subscriber,94010,Weekday
1024618,529,12/1/2015 6:46,Grant Avenue at Columbus Avenue,73,12/1/2015 6:55,Embarcadero at Folsom,51,378,Subscriber,94563,Weekday
1024619,448,12/1/2015 6:47,Embarcadero at Sansome,60,12/1/2015 6:54,Temporary Transbay Terminal (Howard at Beale),55,602,Subscriber,94111,Weekday
1024626,855,12/1/2015 6:45,San Francisco Caltrain 2 (330 Townsend),69,12/1/2015 6:59,Harry Bridges Plaza (Ferry Building),50,352,Subscriber,94065,Weekday
1024628,200,12/1/2015 6:51,2nd at South Park,64,12/1/2015 6:55,San Francisco Caltrain (Townsend at 4th),70,527,Subscriber,94158,Weekday
1024629,406,12/1/2015 6:56,Harry Bridges Plaza (Ferry Building),50,12/1/2015 7:03,Embarcadero at Sansome,60,517,Subscriber,94530,Weekday
1024630,210,12/1/2015 6:56,Temporary Transbay Terminal (Howard at Beale),55,12/1/2015 7:00,Clay at Battery,41,387,Subscriber,94501,Weekday
1024631,610,12/1/2015 6:57,Powell at Post (Union Square),71,12/1/2015 7:07,San Francisco Caltrain (Townsend at 4th),70,214,Subscriber,94108,Weekday
1024633,614,12/1/2015 6:58,Harry Bridges Plaza (Ferry Building),50,12/1/2015 7:08,San Francisco Caltrain (Townsend at 4th),70,445,Subscriber,94609,Weekday
1024634,640,12/1/2015 6:58,Market at 10th,67,12/1/2015 7:09,San Francisco Caltrain (Townsend at 4th),70,426,Subscriber,94103,Weekday
1024635,383,12/1/2015 7:01,Temporary Transbay Terminal (Howard at Beale),55,12/1/2015 7:07,Commercial at Montgomery,45,475,Subscriber,94611,Weekday
