trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1077200,24829,2/1/2016 0:41,San Francisco Caltrain (Townsend at 4th),70,2/1/2016 7:34,Civic Center BART (7th at Market),72,587,Customer,91414,Weekday
1077201,426,2/1/2016 1:20,Clay at Battery,41,2/1/2016 1:27,Washington at Kearny,46,321,Subscriber,94133,Weekday
1077202,343,2/1/2016 3:52,5th at Howard,57,2/1/2016 3:58,Howard at 2nd,63,586,Subscriber,94107,Weekday
1077203,96,2/1/2016 4:35,Grant Avenue at Columbus Avenue,73,2/1/2016 4:37,Commercial at Montgomery,45,359,Subscriber,94133,Weekday
1077204,182,2/1/2016 5:03,2nd at Folsom,62,2/1/2016 5:06,Market at Sansome,77,465,Subscriber,94107,Weekday
1077205,723,2/1/2016 5:15,Market at 10th,67,2/1/2016 5:27,Davis at Jackson,42,503,Subscriber,94102,Weekday
1077206,410,2/1/2016 5:32,Market at 10th,67,2/1/2016 5:39,Townsend at 7th,65,630,Subscriber,94102,Weekday
1077207,510,2/1/2016 5:40,Townsend at 7th,65,2/1/2016 5:49,South Van Ness at Market,66,630,Subscriber,94107,Weekday
1077208,707,2/1/2016 6:03,Embarcadero at Bryant,54,2/1/2016 6:15,Embarcadero at Sansome,60,513,Subscriber,94105,Weekday
1077209,559,2/1/2016 6:06,Embarcadero at Folsom,51,2/1/2016 6:15,Embarcadero at Sansome,60,458,Subscriber,94111,Weekday
1077210,652,2/1/2016 6:18,Embarcadero at Sansome,60,2/1/2016 6:28,2nd at Townsend,61,513,Subscriber,94111,Weekday
1077211,434,2/1/2016 6:19,Embarcadero at Sansome,60,2/1/2016 6:26,Temporary Transbay Terminal (Howard at Beale),55,521,Subscriber,94111,Weekday
1077212,321,2/1/2016 6:21,Grant Avenue at Columbus Avenue,73,2/1/2016 6:27,Market at Sansome,77,529,Subscriber,94133,Weekday
1077213,657,2/1/2016 6:23,Townsend at 7th,65,2/1/2016 6:34,Howard at 2nd,63,402,Subscriber,94124,Weekday
1077214,3547,2/1/2016 6:25,Civic Center BART (7th at Market),72,2/1/2016 7:24,Embarcadero at Vallejo,48,592,Subscriber,94121,Weekday
1077216,329,2/1/2016 6:29,Beale at Market,56,2/1/2016 6:34,2nd at Folsom,62,508,Subscriber,94105,Weekday
1077217,401,2/1/2016 6:33,Davis at Jackson,42,2/1/2016 6:40,Post at Kearny,47,503,Subscriber,94111,Weekday
1077218,973,2/1/2016 6:37,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 6:53,Broadway St at Battery St,82,343,Subscriber,94010,Weekday
1077219,878,2/1/2016 6:39,Embarcadero at Sansome,60,2/1/2016 6:53,Embarcadero at Bryant,54,404,Subscriber,94111,Weekday
1077220,659,2/1/2016 6:45,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 6:56,Davis at Jackson,42,426,Subscriber,94030,Weekday
1077221,479,2/1/2016 6:45,Market at 10th,67,2/1/2016 6:53,San Francisco Caltrain 2 (330 Townsend),69,566,Subscriber,94102,Weekday
1077222,714,2/1/2016 6:45,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 6:57,Temporary Transbay Terminal (Howard at Beale),55,401,Subscriber,94030,Weekday
1077223,1475,2/1/2016 6:45,Davis at Jackson,42,2/1/2016 7:10,Davis at Jackson,42,285,Subscriber,94111,Weekday
1077224,747,2/1/2016 6:46,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 6:58,Beale at Market,56,473,Subscriber,94010,Weekday
1077228,491,2/1/2016 6:46,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 6:55,Spear at Folsom,49,564,Subscriber,95008,Weekday
1077231,169,2/1/2016 6:47,Grant Avenue at Columbus Avenue,73,2/1/2016 6:50,Clay at Battery,41,470,Subscriber,94133,Weekday
1077232,366,2/1/2016 6:47,Temporary Transbay Terminal (Howard at Beale),55,2/1/2016 6:53,Broadway St at Battery St,82,441,Subscriber,94610,Weekday
1077233,1016,2/1/2016 6:47,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 7:04,Beale at Market,56,384,Subscriber,94070,Weekday
1077235,662,2/1/2016 6:47,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 6:58,Market at Sansome,77,562,Subscriber,94040,Weekday
1077236,201,2/1/2016 6:48,Davis at Jackson,42,2/1/2016 6:51,Commercial at Montgomery,45,351,Subscriber,94111,Weekday
1077237,333,2/1/2016 6:48,2nd at South Park,64,2/1/2016 6:54,Market at Sansome,77,415,Subscriber,94303,Weekday
1077242,416,2/1/2016 6:51,Spear at Folsom,49,2/1/2016 6:58,Commercial at Montgomery,45,617,Subscriber,94105,Weekday
1077245,241,2/1/2016 6:55,Townsend at 7th,65,2/1/2016 6:59,San Francisco Caltrain 2 (330 Townsend),69,260,Subscriber,94103,Weekday
1077250,765,2/1/2016 7:02,Steuart at Market,74,2/1/2016 7:15,Townsend at 7th,65,533,Subscriber,94501,Weekday
1077255,385,2/1/2016 7:06,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 7:12,Spear at Folsom,49,260,Subscriber,94087,Weekday
1077263,1025,2/1/2016 7:09,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 7:26,Clay at Battery,41,566,Subscriber,94402,Weekday
1077264,494,2/1/2016 7:09,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 7:17,Howard at 2nd,63,516,Subscriber,95126,Weekday
1077267,1605,2/1/2016 7:10,University and Emerson,35,2/1/2016 7:37,Stanford in Redwood City,25,46,Subscriber,95131,Weekday
1077271,579,2/1/2016 7:12,Market at 10th,67,2/1/2016 7:22,Market at Sansome,77,392,Subscriber,94103,Weekday
1077272,372,2/1/2016 7:13,2nd at South Park,64,2/1/2016 7:19,Howard at 2nd,63,540,Subscriber,94107,Weekday
1077273,420,2/1/2016 7:14,Market at Sansome,77,2/1/2016 7:21,2nd at Townsend,61,465,Subscriber,94803,Weekday
1077275,634,2/1/2016 7:17,Harry Bridges Plaza (Ferry Building),50,2/1/2016 7:27,Mechanics Plaza (Market at Battery),75,375,Subscriber,94903,Weekday
1077282,450,2/1/2016 7:18,Harry Bridges Plaza (Ferry Building),50,2/1/2016 7:26,2nd at Townsend,61,391,Subscriber,94903,Weekday
1077283,158,2/1/2016 7:18,2nd at Townsend,61,2/1/2016 7:21,San Francisco Caltrain 2 (330 Townsend),69,482,Subscriber,94107,Weekday
1077284,665,2/1/2016 7:21,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 7:32,Howard at 2nd,63,482,Subscriber,95118,Weekday
1077286,361,2/1/2016 7:21,Civic Center BART (7th at Market),72,2/1/2016 7:27,Townsend at 7th,65,507,Subscriber,94582,Weekday
1077287,607,2/1/2016 7:21,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 7:32,Temporary Transbay Terminal (Howard at Beale),55,575,Subscriber,94403,Weekday
1077288,782,2/1/2016 7:22,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 7:35,Davis at Jackson,42,366,Subscriber,94025,Weekday
1077292,549,2/1/2016 7:25,Temporary Transbay Terminal (Howard at Beale),55,2/1/2016 7:34,San Francisco Caltrain (Townsend at 4th),70,606,Subscriber,94530,Weekday
1077293,531,2/1/2016 7:25,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 7:34,Temporary Transbay Terminal (Howard at Beale),55,269,Subscriber,94025,Weekday
1077294,405,2/1/2016 7:25,Temporary Transbay Terminal (Howard at Beale),55,2/1/2016 7:32,Market at 4th,76,158,Subscriber,94501,Weekday
1077296,837,2/1/2016 7:26,San Francisco Caltrain 2 (330 Townsend),69,2/1/2016 7:40,Powell Street BART,39,557,Subscriber,94102,Weekday
1077298,312,2/1/2016 7:26,Cowper at University,37,2/1/2016 7:31,University and Emerson,35,711,Subscriber,94301,Weekday
