trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1049878,1078,1/1/2016 0:01,San Francisco Caltrain (Townsend at 4th),70,1/1/2016 0:19,Temporary Transbay Terminal (Howard at Beale),55,451,Subscriber,95113,Weekday
1049879,7161,1/1/2016 0:21,2nd at Folsom,62,1/1/2016 2:20,2nd at Folsom,62,501,Customer,nil,Weekday
1049880,7182,1/1/2016 0:21,2nd at Folsom,62,1/1/2016 2:21,2nd at Folsom,62,111,Customer,nil,Weekday
1049881,196,1/1/2016 1:48,Commercial at Montgomery,45,1/1/2016 1:51,Commercial at Montgomery,45,554,Customer,94704,Weekday
1049882,729,1/1/2016 1:52,Commercial at Montgomery,45,1/1/2016 2:04,Commercial at Montgomery,45,554,Customer,94704,Weekday
1049883,754,1/1/2016 1:57,Embarcadero at Bryant,54,1/1/2016 2:10,Townsend at 7th,65,496,Customer,94107,Weekday
1049884,712,1/1/2016 1:58,Embarcadero at Bryant,54,1/1/2016 2:10,Townsend at 7th,65,445,Subscriber,94116,Weekday
1049885,1942,1/1/2016 2:38,Powell Street BART,39,1/1/2016 3:10,2nd at Townsend,61,429,Customer,95066,Weekday
1049886,1728,1/1/2016 2:42,Powell Street BART,39,1/1/2016 3:10,2nd at Townsend,61,489,Customer,95066,Weekday
1049887,1672,1/1/2016 2:42,Powell Street BART,39,1/1/2016 3:10,2nd at Townsend,61,623,Customer,95066,Weekday
1049888,1346,1/1/2016 2:48,Powell Street BART,39,1/1/2016 3:10,2nd at Townsend,61,617,Customer,95066,Weekday
1049889,15661,1/1/2016 3:25,Market at 10th,67,1/1/2016 7:46,Market at 10th,67,466,Customer,nil,Weekday
1049890,239,1/1/2016 3:51,South Van Ness at Market,66,1/1/2016 3:55,Golden Gate at Polk,59,270,Subscriber,94109,Weekday
1049891,535,1/1/2016 6:17,San Francisco Caltrain 2 (330 Townsend),69,1/1/2016 6:26,Steuart at Market,74,436,Subscriber,94107,Weekday
1049892,1575,1/1/2016 7:01,Davis at Jackson,42,1/1/2016 7:27,Davis at Jackson,42,294,Subscriber,94111,Weekday
1049893,506,1/1/2016 7:46,Embarcadero at Folsom,51,1/1/2016 7:55,Embarcadero at Sansome,60,33,Subscriber,94111,Weekday
1049894,528,1/1/2016 8:19,Civic Center BART (7th at Market),72,1/1/2016 8:28,Townsend at 7th,65,404,Subscriber,94118,Weekday
1049896,289,1/1/2016 8:32,Post at Kearny,47,1/1/2016 8:37,Grant Avenue at Columbus Avenue,73,540,Subscriber,94133,Weekday
