trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1261946,448,7/1/2016 1:02,2nd at Townsend,61,7/1/2016 1:10,Townsend at 7th,65,533,Subscriber,94107,Weekday
1261947,329,7/1/2016 1:35,Powell Street BART,39,7/1/2016 1:40,Market at 10th,67,290,Subscriber,94102,Weekday
1261948,326,7/1/2016 5:18,Market at 10th,67,7/1/2016 5:24,Townsend at 7th,65,290,Subscriber,94102,Weekday
1261949,242,7/1/2016 5:22,2nd at South Park,64,7/1/2016 5:26,Market at Sansome,77,383,Subscriber,94107,Weekday
1261950,565,7/1/2016 5:46,5th at Howard,57,7/1/2016 5:55,Steuart at Market,74,222,Subscriber,94112,Weekday
1261951,1394,7/1/2016 5:46,Davis at Jackson,42,7/1/2016 6:09,Davis at Jackson,42,364,Subscriber,94111,Weekday
1261952,549,7/1/2016 5:47,Market at 10th,67,7/1/2016 5:56,Market at Sansome,77,482,Subscriber,94102,Weekday
1261953,918,7/1/2016 5:58,Temporary Transbay Terminal (Howard at Beale),55,7/1/2016 6:14,Powell at Post (Union Square),71,568,Subscriber,94547,Weekday
1261954,544,7/1/2016 6:07,Embarcadero at Folsom,51,7/1/2016 6:17,Embarcadero at Sansome,60,487,Subscriber,94111,Weekday
1261956,116,7/1/2016 6:17,Temporary Transbay Terminal (Howard at Beale),55,7/1/2016 6:19,Mechanics Plaza (Market at Battery),75,395,Subscriber,94611,Weekday
1261957,624,7/1/2016 6:20,Embarcadero at Sansome,60,7/1/2016 6:30,Embarcadero at Bryant,54,426,Subscriber,94111,Weekday
1261958,541,7/1/2016 6:25,Embarcadero at Sansome,60,7/1/2016 6:34,2nd at Townsend,61,465,Subscriber,94111,Weekday
1261964,316,7/1/2016 6:29,Steuart at Market,74,7/1/2016 6:35,Embarcadero at Sansome,60,318,Subscriber,94401,Weekday
1261965,448,7/1/2016 6:32,Powell Street BART,39,7/1/2016 6:39,South Van Ness at Market,66,559,Subscriber,94102,Weekday
1261966,467,7/1/2016 6:33,San Pedro Square,6,7/1/2016 6:41,SJSU - San Salvador at 9th,16,71,Subscriber,95110,Weekday
1261968,582,7/1/2016 6:34,San Francisco Caltrain (Townsend at 4th),70,7/1/2016 6:44,Beale at Market,56,524,Subscriber,94080,Weekday
1261974,584,7/1/2016 6:40,Townsend at 7th,65,7/1/2016 6:50,Howard at 2nd,63,478,Subscriber,94124,Weekday
1261977,471,7/1/2016 6:44,Ryland Park,84,7/1/2016 6:51,Adobe on Almaden,5,167,Subscriber,95110,Weekday
1261978,245,7/1/2016 6:46,San Francisco Caltrain (Townsend at 4th),70,7/1/2016 6:50,Townsend at 7th,65,528,Subscriber,94301,Weekday
1261979,141,7/1/2016 6:46,Golden Gate at Polk,59,7/1/2016 6:49,Market at 10th,67,561,Subscriber,94103,Weekday
1261981,483,7/1/2016 6:47,San Francisco Caltrain (Townsend at 4th),70,7/1/2016 6:55,Temporary Transbay Terminal (Howard at Beale),55,552,Subscriber,94303,Weekday
1261982,336,7/1/2016 6:48,Powell at Post (Union Square),71,7/1/2016 6:54,Steuart at Market,74,470,Subscriber,94102,Weekday
1261983,489,7/1/2016 6:50,Market at Sansome,77,7/1/2016 6:58,2nd at South Park,64,383,Customer,30043,Weekday
1261984,506,7/1/2016 6:51,Embarcadero at Sansome,60,7/1/2016 6:59,Temporary Transbay Terminal (Howard at Beale),55,329,Subscriber,94111,Weekday
1261990,167,7/1/2016 6:55,Temporary Transbay Terminal (Howard at Beale),55,7/1/2016 6:58,Mechanics Plaza (Market at Battery),75,458,Subscriber,94105,Weekday
1261993,274,7/1/2016 6:58,Davis at Jackson,42,7/1/2016 7:03,Embarcadero at Sansome,60,432,Subscriber,94111,Weekday
1261994,183,7/1/2016 7:00,Townsend at 7th,65,7/1/2016 7:03,San Francisco Caltrain 2 (330 Townsend),69,290,Subscriber,94103,Weekday
1261995,921,7/1/2016 7:01,Post at Kearny,47,7/1/2016 7:16,Townsend at 7th,65,485,Subscriber,94947,Weekday
1261996,891,7/1/2016 7:03,Temporary Transbay Terminal (Howard at Beale),55,7/1/2016 7:18,Townsend at 7th,65,419,Subscriber,94707,Weekday
1262001,1016,7/1/2016 7:05,Mountain View City Hall,27,7/1/2016 7:22,San Antonio Shopping Center,31,203,Subscriber,94309,Weekday
1262002,862,7/1/2016 7:08,San Francisco Caltrain (Townsend at 4th),70,7/1/2016 7:22,Commercial at Montgomery,45,147,Subscriber,95130,Weekday
1262003,689,7/1/2016 7:09,San Francisco Caltrain (Townsend at 4th),70,7/1/2016 7:20,Embarcadero at Folsom,51,437,Subscriber,95129,Weekday
1262004,1109,7/1/2016 7:09,San Francisco Caltrain (Townsend at 4th),70,7/1/2016 7:28,South Van Ness at Market,66,280,Subscriber,95122,Weekday
1262005,766,7/1/2016 7:09,San Francisco Caltrain (Townsend at 4th),70,7/1/2016 7:22,Davis at Jackson,42,403,Subscriber,94087,Weekday
1262006,593,7/1/2016 7:11,Powell at Post (Union Square),71,7/1/2016 7:21,San Francisco Caltrain 2 (330 Townsend),69,404,Subscriber,94108,Weekday
1262007,253,7/1/2016 7:12,Powell at Post (Union Square),71,7/1/2016 7:16,Beale at Market,56,525,Subscriber,94123,Weekday
1262008,226,7/1/2016 7:13,2nd at Townsend,61,7/1/2016 7:16,Spear at Folsom,49,465,Subscriber,94087,Weekday
1262009,381,7/1/2016 7:13,Powell at Post (Union Square),71,7/1/2016 7:19,Howard at 2nd,63,560,Subscriber,94109,Weekday
