trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1110280,792,3/1/2016 0:06,San Francisco Caltrain 2 (330 Townsend),69,3/1/2016 0:20,Harry Bridges Plaza (Ferry Building),50,549,Subscriber,95054,Weekday
1110281,555,3/1/2016 0:25,Spear at Folsom,49,3/1/2016 0:34,San Francisco Caltrain (Townsend at 4th),70,601,Subscriber,94158,Weekday
1110282,328,3/1/2016 1:10,Powell Street BART,39,3/1/2016 1:16,Market at 10th,67,270,Subscriber,94102,Weekday
1110283,214,3/1/2016 1:44,Embarcadero at Folsom,51,3/1/2016 1:48,Howard at 2nd,63,425,Subscriber,94107,Weekday
1110285,330,3/1/2016 3:50,5th at Howard,57,3/1/2016 3:55,Howard at 2nd,63,160,Subscriber,94107,Weekday
1110286,174,3/1/2016 4:37,2nd at Folsom,62,3/1/2016 4:39,Market at Sansome,77,311,Subscriber,94107,Weekday
1110287,636,3/1/2016 4:54,Embarcadero at Bryant,54,3/1/2016 5:04,Embarcadero at Sansome,60,455,Subscriber,94105,Weekday
1110288,431,3/1/2016 5:20,Market at 10th,67,3/1/2016 5:27,Townsend at 7th,65,270,Subscriber,94102,Weekday
1110289,300,3/1/2016 5:41,Grant Avenue at Columbus Avenue,73,3/1/2016 5:46,Market at Sansome,77,206,Subscriber,94133,Weekday
1110290,593,3/1/2016 5:41,Townsend at 7th,65,3/1/2016 5:51,South Van Ness at Market,66,628,Subscriber,94107,Weekday
1110291,498,3/1/2016 5:45,Civic Center BART (7th at Market),72,3/1/2016 5:54,San Francisco Caltrain 2 (330 Townsend),69,409,Subscriber,94103,Weekday
1110293,807,3/1/2016 5:58,Market at 10th,67,3/1/2016 6:11,Davis at Jackson,42,300,Subscriber,94102,Weekday
1110295,165,3/1/2016 6:09,Post at Kearny,47,3/1/2016 6:12,Beale at Market,56,407,Subscriber,94123,Weekday
1110296,252,3/1/2016 6:19,Temporary Transbay Terminal (Howard at Beale),55,3/1/2016 6:23,Commercial at Montgomery,45,593,Subscriber,94611,Weekday
1110297,205,3/1/2016 6:21,Harry Bridges Plaza (Ferry Building),50,3/1/2016 6:25,Temporary Transbay Terminal (Howard at Beale),55,878,Subscriber,94105,Weekday
1110298,791,3/1/2016 6:22,Embarcadero at Sansome,60,3/1/2016 6:35,Spear at Folsom,49,455,Subscriber,94105,Weekday
1110299,661,3/1/2016 6:23,Townsend at 7th,65,3/1/2016 6:34,Howard at 2nd,63,270,Subscriber,94124,Weekday
1110300,504,3/1/2016 6:24,San Francisco Caltrain 2 (330 Townsend),69,3/1/2016 6:33,Embarcadero at Folsom,51,617,Subscriber,94107,Weekday
1110301,422,3/1/2016 6:25,Steuart at Market,74,3/1/2016 6:32,Embarcadero at Sansome,60,362,Subscriber,94111,Weekday
1110302,184,3/1/2016 6:25,Temporary Transbay Terminal (Howard at Beale),55,3/1/2016 6:28,Yerba Buena Center of the Arts (3rd @ Howard),68,482,Subscriber,94105,Weekday
1110303,728,3/1/2016 6:23,Harry Bridges Plaza (Ferry Building),50,3/1/2016 6:35,San Francisco Caltrain 2 (330 Townsend),69,332,Subscriber,94903,Weekday
1110304,138,3/1/2016 6:28,Temporary Transbay Terminal (Howard at Beale),55,3/1/2016 6:30,Mechanics Plaza (Market at Battery),75,427,Subscriber,95616,Weekday
1110306,850,3/1/2016 6:29,2nd at Folsom,62,3/1/2016 6:43,2nd at South Park,64,352,Subscriber,94107,Weekday
1110307,598,3/1/2016 6:32,Broadway St at Battery St,82,3/1/2016 6:42,2nd at Townsend,61,541,Subscriber,94133,Weekday
1110308,609,3/1/2016 6:35,2nd at Townsend,61,3/1/2016 6:46,San Francisco Caltrain (Townsend at 4th),70,374,Subscriber,95134,Weekday
1110309,534,3/1/2016 6:36,2nd at South Park,64,3/1/2016 6:45,San Francisco Caltrain (Townsend at 4th),70,390,Subscriber,94105,Weekday
1110316,396,3/1/2016 6:40,Temporary Transbay Terminal (Howard at Beale),55,3/1/2016 6:47,5th at Howard,57,359,Subscriber,94602,Weekday
1110317,329,3/1/2016 6:41,Broadway St at Battery St,82,3/1/2016 6:47,Mechanics Plaza (Market at Battery),75,343,Subscriber,94133,Weekday
1110318,492,3/1/2016 6:43,Embarcadero at Sansome,60,3/1/2016 6:51,Temporary Transbay Terminal (Howard at Beale),55,557,Subscriber,94111,Weekday
1110320,228,3/1/2016 6:44,Steuart at Market,74,3/1/2016 6:48,Spear at Folsom,49,238,Subscriber,94563,Weekday
1110321,1125,3/1/2016 6:44,Grant Avenue at Columbus Avenue,73,3/1/2016 7:03,San Francisco Caltrain (Townsend at 4th),70,345,Subscriber,94133,Weekday
1110322,433,3/1/2016 6:44,Embarcadero at Bryant,54,3/1/2016 6:52,San Francisco Caltrain (Townsend at 4th),70,551,Subscriber,94103,Weekday
1110323,625,3/1/2016 6:45,San Francisco Caltrain (Townsend at 4th),70,3/1/2016 6:55,Howard at 2nd,63,279,Subscriber,95118,Weekday
1110324,980,3/1/2016 6:45,San Francisco Caltrain (Townsend at 4th),70,3/1/2016 7:01,Temporary Transbay Terminal (Howard at Beale),55,601,Subscriber,94030,Weekday
1110325,628,3/1/2016 6:45,San Francisco Caltrain 2 (330 Townsend),69,3/1/2016 6:56,Steuart at Market,74,332,Subscriber,94105,Weekday
1110326,657,3/1/2016 6:45,San Francisco Caltrain (Townsend at 4th),70,3/1/2016 6:56,Temporary Transbay Terminal (Howard at Beale),55,572,Subscriber,94070,Weekday
1110327,530,3/1/2016 6:46,Grant Avenue at Columbus Avenue,73,3/1/2016 6:55,Embarcadero at Folsom,51,426,Subscriber,94563,Weekday
1110328,535,3/1/2016 6:46,San Francisco Caltrain 2 (330 Townsend),69,3/1/2016 6:55,Market at Sansome,77,558,Subscriber,94040,Weekday
1110329,634,3/1/2016 6:47,Steuart at Market,74,3/1/2016 6:57,San Francisco Caltrain 2 (330 Townsend),69,351,Subscriber,94588,Weekday
1110338,523,3/1/2016 6:46,San Francisco Caltrain 2 (330 Townsend),69,3/1/2016 6:55,Spear at Folsom,49,340,Subscriber,95008,Weekday
1110339,498,3/1/2016 6:49,Davis at Jackson,42,3/1/2016 6:57,Post at Kearny,47,300,Subscriber,94111,Weekday
1110340,232,3/1/2016 6:51,Mountain View City Hall,27,3/1/2016 6:55,Mountain View Caltrain Station,28,197,Subscriber,94309,Weekday
1110341,627,3/1/2016 6:56,Spear at Folsom,49,3/1/2016 7:07,San Francisco Caltrain (Townsend at 4th),70,537,Subscriber,94105,Weekday
1110342,514,3/1/2016 6:59,Temporary Transbay Terminal (Howard at Beale),55,3/1/2016 7:08,Embarcadero at Sansome,60,290,Subscriber,94105,Weekday
1110343,395,3/1/2016 7:00,San Francisco Caltrain 2 (330 Townsend),69,3/1/2016 7:07,Howard at 2nd,63,409,Subscriber,94107,Weekday
1110344,178,3/1/2016 7:00,2nd at Folsom,62,3/1/2016 7:03,Spear at Folsom,49,484,Subscriber,94107,Weekday
1110345,422,3/1/2016 7:01,Temporary Transbay Terminal (Howard at Beale),55,3/1/2016 7:08,Market at 4th,76,572,Subscriber,94501,Weekday
1110346,32074,3/1/2016 7:01,San Francisco Caltrain (Townsend at 4th),70,3/1/2016 15:56,San Francisco Caltrain (Townsend at 4th),70,621,Subscriber,94158,Weekday
1110347,616,3/1/2016 7:02,San Francisco City Hall,58,3/1/2016 7:12,San Francisco Caltrain 2 (330 Townsend),69,415,Subscriber,94103,Weekday
