trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1183201,450,5/1/2016 0:00,Market at Sansome,77,5/1/2016 0:07,Grant Avenue at Columbus Avenue,73,292,Subscriber,94133,Weekend
1183202,2609,5/1/2016 3:40,Harry Bridges Plaza (Ferry Building),50,5/1/2016 4:24,Grant Avenue at Columbus Avenue,73,575,Customer,94121,Weekend
1183203,22051,5/1/2016 3:45,Harry Bridges Plaza (Ferry Building),50,5/1/2016 9:53,Grant Avenue at Columbus Avenue,73,878,Customer,94124,Weekend
1183204,2096,5/1/2016 3:48,Harry Bridges Plaza (Ferry Building),50,5/1/2016 4:23,Grant Avenue at Columbus Avenue,73,587,Customer,94134,Weekend
1183205,1883,5/1/2016 3:53,Harry Bridges Plaza (Ferry Building),50,5/1/2016 4:24,Grant Avenue at Columbus Avenue,73,282,Customer,94124,Weekend
1183206,1725,5/1/2016 3:55,Harry Bridges Plaza (Ferry Building),50,5/1/2016 4:24,Grant Avenue at Columbus Avenue,73,711,Customer,94108,Weekend
1183208,1248,5/1/2016 4:02,Harry Bridges Plaza (Ferry Building),50,5/1/2016 4:23,Grant Avenue at Columbus Avenue,73,361,Customer,94134,Weekend
1183210,396,5/1/2016 6:01,5th at Howard,57,5/1/2016 6:07,Howard at 2nd,63,511,Subscriber,94107,Weekend
1183211,581,5/1/2016 6:22,Market at 10th,67,5/1/2016 6:31,Washington at Kearny,46,404,Subscriber,94102,Weekend
1183212,653,5/1/2016 7:07,Embarcadero at Bryant,54,5/1/2016 7:18,Embarcadero at Sansome,60,405,Subscriber,94105,Weekend
1183215,225,5/1/2016 7:46,Powell at Post (Union Square),71,5/1/2016 7:49,Powell at Post (Union Square),71,659,Customer,1570061,Weekend
1183222,497,5/1/2016 8:20,Powell at Post (Union Square),71,5/1/2016 8:29,Embarcadero at Folsom,51,659,Customer,94109,Weekend
1183223,385,5/1/2016 8:40,South Van Ness at Market,66,5/1/2016 8:46,Powell Street BART,39,284,Subscriber,94102,Weekend
1183224,777,5/1/2016 8:41,2nd at Townsend,61,5/1/2016 8:54,Embarcadero at Sansome,60,327,Subscriber,94107,Weekend
1183225,240,5/1/2016 8:47,Market at Sansome,77,5/1/2016 8:51,Washington at Kearny,46,538,Subscriber,94108,Weekend
1183226,651,5/1/2016 8:50,Powell Street BART,39,5/1/2016 9:01,Harry Bridges Plaza (Ferry Building),50,409,Customer,47,Weekend
1183227,575,5/1/2016 8:51,Powell Street BART,39,5/1/2016 9:00,Harry Bridges Plaza (Ferry Building),50,413,Customer,47,Weekend
1183228,181,5/1/2016 9:03,Golden Gate at Polk,59,5/1/2016 9:06,Market at 10th,67,256,Subscriber,94103,Weekend
1183229,434,5/1/2016 9:04,Ryland Park,84,5/1/2016 9:11,Paseo de San Antonio,7,128,Subscriber,95110,Weekend
1183230,1233,5/1/2016 9:04,Howard at 2nd,63,5/1/2016 9:25,Howard at 2nd,63,628,Customer,80111,Weekend
1183231,615,5/1/2016 9:19,San Francisco Caltrain 2 (330 Townsend),69,5/1/2016 9:29,Embarcadero at Folsom,51,360,Subscriber,94107,Weekend
1183232,782,5/1/2016 9:22,Golden Gate at Polk,59,5/1/2016 9:35,Temporary Transbay Terminal (Howard at Beale),55,517,Subscriber,94104,Weekend
1183233,209,5/1/2016 9:22,Civic Center BART (7th at Market),72,5/1/2016 9:26,South Van Ness at Market,66,502,Subscriber,94107,Weekend
1183234,253,5/1/2016 9:24,Embarcadero at Bryant,54,5/1/2016 9:28,Embarcadero at Folsom,51,510,Subscriber,94105,Weekend
1183238,772,5/1/2016 9:29,Yerba Buena Center of the Arts (3rd @ Howard),68,5/1/2016 9:42,San Francisco Caltrain 2 (330 Townsend),69,470,Subscriber,94105,Weekend
1183239,566,5/1/2016 9:30,Embarcadero at Folsom,51,5/1/2016 9:39,Post at Kearny,47,446,Subscriber,94109,Weekend
1183240,347,5/1/2016 9:31,2nd at Folsom,62,5/1/2016 9:37,Embarcadero at Folsom,51,427,Subscriber,94105,Weekend
1183241,271,5/1/2016 9:32,Embarcadero at Folsom,51,5/1/2016 9:37,Harry Bridges Plaza (Ferry Building),50,510,Subscriber,94105,Weekend
1183242,208,5/1/2016 9:38,Grant Avenue at Columbus Avenue,73,5/1/2016 9:41,Clay at Battery,41,282,Subscriber,94133,Weekend
1183243,2797,5/1/2016 9:38,Powell at Post (Union Square),71,5/1/2016 10:25,Market at 10th,67,524,Customer,5412010,Weekend
1183244,348,5/1/2016 9:47,San Francisco Caltrain 2 (330 Townsend),69,5/1/2016 9:53,5th at Howard,57,618,Subscriber,94107,Weekend
1183245,350,5/1/2016 9:48,Market at 10th,67,5/1/2016 9:54,Powell Street BART,39,621,Subscriber,94103,Weekend
1183246,1128,5/1/2016 9:49,San Francisco Caltrain (Townsend at 4th),70,5/1/2016 10:07,Embarcadero at Sansome,60,287,Subscriber,94105,Weekend
1183247,563,5/1/2016 9:49,Davis at Jackson,42,5/1/2016 9:58,Market at 4th,76,603,Subscriber,94111,Weekend
1183248,463,5/1/2016 9:50,Paseo de San Antonio,7,5/1/2016 9:57,Ryland Park,84,714,Subscriber,95110,Weekend
1183249,172,5/1/2016 9:50,Beale at Market,56,5/1/2016 9:53,Harry Bridges Plaza (Ferry Building),50,552,Subscriber,94105,Weekend
1183250,171,5/1/2016 9:50,Beale at Market,56,5/1/2016 9:53,Harry Bridges Plaza (Ferry Building),50,425,Subscriber,94105,Weekend
1183251,617,5/1/2016 9:50,South Van Ness at Market,66,5/1/2016 10:01,Market at 4th,76,380,Subscriber,94103,Weekend
1183252,607,5/1/2016 9:51,South Van Ness at Market,66,5/1/2016 10:01,Market at 4th,76,502,Subscriber,94103,Weekend
