trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
993271,333,11/1/2015 0:18,St James Park,13,11/1/2015 0:23,Japantown,9,112,Subscriber,95112,Weekend
993272,770,11/1/2015 0:21,Market at 4th,76,11/1/2015 0:34,Embarcadero at Sansome,60,540,Subscriber,94111,Weekend
993273,203,11/1/2015 0:36,Civic Center BART (7th at Market),72,11/1/2015 0:39,Market at 10th,67,98,Subscriber,94102,Weekend
993274,624,11/1/2015 1:02,Powell Street BART,39,11/1/2015 1:12,Townsend at 7th,65,509,Subscriber,94107,Weekend
993275,1210,11/1/2015 1:23,South Van Ness at Market,66,11/1/2015 1:43,Powell at Post (Union Square),71,507,Customer,19403,Weekend
993276,754,11/1/2015 1:30,South Van Ness at Market,66,11/1/2015 1:43,Powell at Post (Union Square),71,356,Customer,7310,Weekend
993277,744,11/1/2015 1:30,South Van Ness at Market,66,11/1/2015 1:43,Powell at Post (Union Square),71,592,Customer,7310,Weekend
993278,725,11/1/2015 1:56,South Van Ness at Market,66,11/1/2015 2:09,Washington at Kearny,46,311,Subscriber,94133,Weekend
993279,1007,11/1/2015 6:03,Townsend at 7th,65,11/1/2015 6:20,Temporary Transbay Terminal (Howard at Beale),55,402,Subscriber,94107,Weekend
993280,5409,11/1/2015 6:25,2nd at Townsend,61,11/1/2015 7:55,2nd at Townsend,61,541,Customer,59840,Weekend
993281,1527,11/1/2015 6:44,San Francisco Caltrain (Townsend at 4th),70,11/1/2015 7:10,San Francisco Caltrain (Townsend at 4th),70,606,Subscriber,94107,Weekend
993282,906,11/1/2015 7:19,South Van Ness at Market,66,11/1/2015 7:34,Davis at Jackson,42,562,Subscriber,94102,Weekend
993283,6598,11/1/2015 7:33,Mountain View Caltrain Station,28,11/1/2015 9:23,Mountain View Caltrain Station,28,140,Customer,79601,Weekend
993284,693,11/1/2015 7:43,Harry Bridges Plaza (Ferry Building),50,11/1/2015 7:55,Beale at Market,56,461,Subscriber,94105,Weekend
993285,1524,11/1/2015 7:46,Embarcadero at Bryant,54,11/1/2015 8:11,Embarcadero at Folsom,51,420,Subscriber,94105,Weekend
993286,529,11/1/2015 7:47,Embarcadero at Bryant,54,11/1/2015 7:56,Townsend at 7th,65,287,Subscriber,94103,Weekend
993287,415,11/1/2015 7:51,Powell at Post (Union Square),71,11/1/2015 7:58,Mechanics Plaza (Market at Battery),75,356,Subscriber,94117,Weekend
993288,379,11/1/2015 7:52,Powell at Post (Union Square),71,11/1/2015 7:58,Mechanics Plaza (Market at Battery),75,268,Subscriber,94129,Weekend
993289,309,11/1/2015 8:07,Powell Street BART,39,11/1/2015 8:12,San Francisco Caltrain (Townsend at 4th),70,549,Subscriber,94301,Weekend
993290,539,11/1/2015 8:11,Embarcadero at Folsom,51,11/1/2015 8:20,Beale at Market,56,33,Subscriber,94105,Weekend
993291,5205,11/1/2015 8:25,Powell Street BART,39,11/1/2015 9:52,San Francisco City Hall,58,635,Customer,49,Weekend
993292,4869,11/1/2015 8:41,Powell Street BART,39,11/1/2015 10:02,Powell Street BART,39,55,Customer,11203,Weekend
993293,1013,11/1/2015 8:42,San Francisco City Hall,58,11/1/2015 8:58,2nd at Townsend,61,469,Subscriber,94104,Weekend
993294,1310,11/1/2015 8:43,Harry Bridges Plaza (Ferry Building),50,11/1/2015 9:04,Clay at Battery,41,597,Subscriber,94111,Weekend
993295,381,11/1/2015 8:44,Mechanics Plaza (Market at Battery),75,11/1/2015 8:50,Powell Street BART,39,268,Subscriber,94129,Weekend
993296,378,11/1/2015 8:44,Mechanics Plaza (Market at Battery),75,11/1/2015 8:50,Powell Street BART,39,356,Subscriber,94117,Weekend
993297,461,11/1/2015 8:49,Yerba Buena Center of the Arts (3rd @ Howard),68,11/1/2015 8:56,Steuart at Market,74,100,Subscriber,94105,Weekend
993298,918,11/1/2015 8:59,2nd at Townsend,61,11/1/2015 9:14,Embarcadero at Sansome,60,469,Subscriber,94104,Weekend
993299,387,11/1/2015 9:00,Broadway St at Battery St,82,11/1/2015 9:07,Post at Kearny,47,440,Subscriber,94903,Weekend
993300,615,11/1/2015 9:05,Spear at Folsom,49,11/1/2015 9:16,Embarcadero at Sansome,60,412,Subscriber,94105,Weekend
993301,909,11/1/2015 9:15,Embarcadero at Sansome,60,11/1/2015 9:30,2nd at Townsend,61,469,Subscriber,94104,Weekend
993304,9683,11/1/2015 9:27,Broadway St at Battery St,82,11/1/2015 12:09,Embarcadero at Vallejo,48,236,Customer,95123,Weekend
993305,9633,11/1/2015 9:28,Broadway St at Battery St,82,11/1/2015 12:08,Embarcadero at Vallejo,48,426,Customer,95123,Weekend
993309,1008,11/1/2015 9:30,2nd at Townsend,61,11/1/2015 9:47,San Francisco City Hall,58,469,Subscriber,94104,Weekend
993312,152,11/1/2015 9:49,Embarcadero at Bryant,54,11/1/2015 9:52,Embarcadero at Folsom,51,294,Subscriber,94158,Weekend
993313,694,11/1/2015 9:51,Temporary Transbay Terminal (Howard at Beale),55,11/1/2015 10:03,Civic Center BART (7th at Market),72,516,Subscriber,94103,Weekend
993314,501,11/1/2015 9:54,San Francisco City Hall,58,11/1/2015 10:02,Powell Street BART,39,635,Customer,49,Weekend
993315,480,11/1/2015 9:54,Post at Kearny,47,11/1/2015 10:02,Embarcadero at Sansome,60,325,Subscriber,94111,Weekend
993316,692,11/1/2015 9:54,Market at 4th,76,11/1/2015 10:06,Harry Bridges Plaza (Ferry Building),50,568,Customer,31,Weekend
993317,625,11/1/2015 9:55,Market at 4th,76,11/1/2015 10:06,Harry Bridges Plaza (Ferry Building),50,587,Customer,31,Weekend
993318,486,11/1/2015 9:58,Market at 4th,76,11/1/2015 10:06,Harry Bridges Plaza (Ferry Building),50,360,Customer,nil,Weekend
993319,477,11/1/2015 9:58,Market at 4th,76,11/1/2015 10:06,Harry Bridges Plaza (Ferry Building),50,877,Customer,nil,Weekend
993320,250,11/1/2015 10:08,Grant Avenue at Columbus Avenue,73,11/1/2015 10:12,Clay at Battery,41,259,Subscriber,94133,Weekend
993321,725,11/1/2015 10:16,Embarcadero at Sansome,60,11/1/2015 10:29,Embarcadero at Folsom,51,520,Customer,94133,Weekend
993322,1163,11/1/2015 10:23,Beale at Market,56,11/1/2015 10:42,Embarcadero at Bryant,54,33,Subscriber,94105,Weekend
993323,43899,11/1/2015 10:25,California Ave Caltrain Station,36,11/1/2015 22:36,California Ave Caltrain Station,36,46,Customer,1,Weekend
993324,16896,11/1/2015 10:27,Embarcadero at Bryant,54,11/1/2015 15:09,Embarcadero at Vallejo,48,447,Customer,nil,Weekend
993325,222,11/1/2015 10:27,Market at 10th,67,11/1/2015 10:31,Civic Center BART (7th at Market),72,98,Subscriber,94102,Weekend
993326,16765,11/1/2015 10:27,Embarcadero at Bryant,54,11/1/2015 15:06,Embarcadero at Vallejo,48,86,Customer,nil,Weekend
993327,737,11/1/2015 10:27,Embarcadero at Folsom,51,11/1/2015 10:40,Broadway St at Battery St,82,209,Customer,92663,Weekend
993328,672,11/1/2015 10:27,Embarcadero at Folsom,51,11/1/2015 10:39,Broadway St at Battery St,82,294,Customer,92663,Weekend
993329,655,11/1/2015 10:31,Civic Center BART (7th at Market),72,11/1/2015 10:42,Temporary Transbay Terminal (Howard at Beale),55,455,Subscriber,94103,Weekend
993330,321,11/1/2015 10:35,Market at 4th,76,11/1/2015 10:41,Mechanics Plaza (Market at Battery),75,480,Subscriber,94103,Weekend
993331,1611,11/1/2015 10:36,Powell Street BART,39,11/1/2015 11:03,Embarcadero at Sansome,60,687,Customer,60126,Weekend
993332,1565,11/1/2015 10:36,Powell Street BART,39,11/1/2015 11:03,Embarcadero at Sansome,60,361,Customer,94041,Weekend
993333,1478,11/1/2015 10:38,Powell Street BART,39,11/1/2015 11:03,Embarcadero at Sansome,60,274,Customer,60004,Weekend
993334,1111,11/1/2015 10:42,Grant Avenue at Columbus Avenue,73,11/1/2015 11:01,Townsend at 7th,65,384,Subscriber,94133,Weekend
993335,1785,11/1/2015 10:51,Palo Alto Caltrain Station,34,11/1/2015 11:21,California Ave Caltrain Station,36,301,Customer,94306,Weekend
993337,2005,11/1/2015 10:51,Palo Alto Caltrain Station,34,11/1/2015 11:25,California Ave Caltrain Station,36,233,Customer,94306,Weekend
993338,2774,11/1/2015 10:52,Harry Bridges Plaza (Ferry Building),50,11/1/2015 11:39,Powell at Post (Union Square),71,459,Customer,31,Weekend
993339,2736,11/1/2015 10:53,Harry Bridges Plaza (Ferry Building),50,11/1/2015 11:38,Powell at Post (Union Square),71,568,Customer,31,Weekend
993340,2669,11/1/2015 10:54,Harry Bridges Plaza (Ferry Building),50,11/1/2015 11:38,Powell at Post (Union Square),71,618,Customer,nil,Weekend
993341,2644,11/1/2015 10:54,Harry Bridges Plaza (Ferry Building),50,11/1/2015 11:38,Powell at Post (Union Square),71,423,Customer,nil,Weekend
993342,438,11/1/2015 10:54,Temporary Transbay Terminal (Howard at Beale),55,11/1/2015 11:02,Embarcadero at Vallejo,48,505,Subscriber,94608,Weekend
993343,455,11/1/2015 10:55,2nd at Townsend,61,11/1/2015 11:02,Market at 4th,76,425,Subscriber,94107,Weekend
993344,461,11/1/2015 10:57,Beale at Market,56,11/1/2015 11:05,Powell at Post (Union Square),71,461,Subscriber,94103,Weekend
993346,1345,11/1/2015 11:02,Harry Bridges Plaza (Ferry Building),50,11/1/2015 11:24,2nd at Townsend,61,327,Customer,94133,Weekend
993347,223,11/1/2015 11:06,Washington at Kearny,46,11/1/2015 11:09,Grant Avenue at Columbus Avenue,73,504,Subscriber,94111,Weekend
993348,595,11/1/2015 11:09,Grant Avenue at Columbus Avenue,73,11/1/2015 11:19,Harry Bridges Plaza (Ferry Building),50,526,Subscriber,94133,Weekend
993350,663,11/1/2015 11:13,Embarcadero at Sansome,60,11/1/2015 11:24,Embarcadero at Bryant,54,412,Subscriber,94105,Weekend
993351,22280,11/1/2015 11:20,Harry Bridges Plaza (Ferry Building),50,11/1/2015 17:31,Steuart at Market,74,278,Subscriber,94133,Weekend
993353,371,11/1/2015 11:23,Temporary Transbay Terminal (Howard at Beale),55,11/1/2015 11:29,2nd at Townsend,61,351,Subscriber,94301,Weekend
993354,497,11/1/2015 11:24,2nd at South Park,64,11/1/2015 11:32,Market at Sansome,77,652,Customer,94303,Weekend
993355,1163,11/1/2015 11:25,2nd at Townsend,61,11/1/2015 11:45,Embarcadero at Sansome,60,327,Customer,94133,Weekend
993356,13102,11/1/2015 11:26,Powell Street BART,39,11/1/2015 15:04,Powell Street BART,39,55,Customer,11203,Weekend
993357,731,11/1/2015 11:35,2nd at Townsend,61,11/1/2015 11:48,Market at 4th,76,351,Subscriber,94107,Weekend
993358,125,11/1/2015 11:37,Spear at Folsom,49,11/1/2015 11:39,Embarcadero at Bryant,54,422,Subscriber,94111,Weekend
