trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
952750,537,10/1/2015 0:03,Howard at 2nd,63,10/1/2015 0:12,Market at 4th,76,534,Customer,92807,Weekday
952751,530,10/1/2015 0:03,Howard at 2nd,63,10/1/2015 0:12,Market at 4th,76,350,Customer,92807,Weekday
952752,154,10/1/2015 0:38,Howard at 2nd,63,10/1/2015 0:41,Market at Sansome,77,603,Subscriber,94102,Weekday
952753,1146,10/1/2015 1:20,South Van Ness at Market,66,10/1/2015 1:39,Broadway St at Battery St,82,513,Subscriber,94133,Weekday
952754,256,10/1/2015 1:37,South Van Ness at Market,66,10/1/2015 1:41,Golden Gate at Polk,59,598,Subscriber,94109,Weekday
952756,1031,10/1/2015 3:37,Townsend at 7th,65,10/1/2015 3:54,Temporary Transbay Terminal (Howard at Beale),55,355,Subscriber,94107,Weekday
952757,378,10/1/2015 4:19,Market at 10th,67,10/1/2015 4:26,Townsend at 7th,65,320,Subscriber,94102,Weekday
952758,111,10/1/2015 4:43,Grant Avenue at Columbus Avenue,73,10/1/2015 4:45,Commercial at Montgomery,45,439,Subscriber,94133,Weekday
952759,126,10/1/2015 4:55,Howard at 2nd,63,10/1/2015 4:57,Market at Sansome,77,268,Subscriber,94107,Weekday
952760,669,10/1/2015 5:03,Embarcadero at Bryant,54,10/1/2015 5:14,Embarcadero at Sansome,60,690,Subscriber,94105,Weekday
952761,452,10/1/2015 5:36,Market at 10th,67,10/1/2015 5:43,Townsend at 7th,65,336,Subscriber,94102,Weekday
952762,454,10/1/2015 5:36,Market at 10th,67,10/1/2015 5:44,Townsend at 7th,65,478,Subscriber,94107,Weekday
952763,427,10/1/2015 5:38,Powell Street BART,39,10/1/2015 5:45,San Francisco Caltrain 2 (330 Townsend),69,388,Subscriber,94107,Weekday
952764,526,10/1/2015 5:44,Civic Center BART (7th at Market),72,10/1/2015 5:53,San Francisco Caltrain 2 (330 Townsend),69,29,Subscriber,94103,Weekday
952765,279,10/1/2015 5:46,Grant Avenue at Columbus Avenue,73,10/1/2015 5:51,Market at Sansome,77,475,Subscriber,94133,Weekday
952767,398,10/1/2015 5:56,5th at Howard,57,10/1/2015 6:03,San Francisco Caltrain 2 (330 Townsend),69,464,Subscriber,94107,Weekday
952768,638,10/1/2015 5:55,Mechanics Plaza (Market at Battery),75,10/1/2015 6:05,San Francisco Caltrain (Townsend at 4th),70,311,Subscriber,94903,Weekday
