trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
913465,746,9/1/2015 0:10,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 0:23,San Francisco City Hall,58,238,Subscriber,94107,Weekday
913466,969,9/1/2015 0:15,Clay at Battery,41,9/1/2015 0:31,Washington at Kearny,46,16,Subscriber,94133,Weekday
913467,233,9/1/2015 0:15,Davis at Jackson,42,9/1/2015 0:19,Commercial at Montgomery,45,534,Subscriber,94111,Weekday
913468,213,9/1/2015 1:29,Clay at Battery,41,9/1/2015 1:32,Steuart at Market,74,312,Subscriber,94107,Weekday
913469,574,9/1/2015 1:33,Steuart at Market,74,9/1/2015 1:42,San Francisco Caltrain 2 (330 Townsend),69,279,Subscriber,94107,Weekday
913470,623,9/1/2015 1:36,San Jose Diridon Caltrain Station,2,9/1/2015 1:47,Japantown,9,261,Subscriber,95112,Weekday
913471,746,9/1/2015 2:15,Embarcadero at Bryant,54,9/1/2015 2:27,Powell Street BART,39,436,Subscriber,94103,Weekday
913472,1038,9/1/2015 3:38,Townsend at 7th,65,9/1/2015 3:56,Howard at 2nd,63,607,Subscriber,94107,Weekday
913473,424,9/1/2015 4:23,Market at 10th,67,9/1/2015 4:30,Townsend at 7th,65,259,Subscriber,94102,Weekday
913474,633,9/1/2015 4:57,Embarcadero at Bryant,54,9/1/2015 5:08,Embarcadero at Sansome,60,613,Subscriber,94105,Weekday
913475,174,9/1/2015 4:58,2nd at Folsom,62,9/1/2015 5:01,Market at Sansome,77,449,Subscriber,94107,Weekday
913476,777,9/1/2015 5:02,Davis at Jackson,42,9/1/2015 5:15,San Francisco Caltrain (Townsend at 4th),70,86,Subscriber,94111,Weekday
913477,454,9/1/2015 5:38,Powell Street BART,39,9/1/2015 5:45,San Francisco Caltrain 2 (330 Townsend),69,440,Subscriber,94107,Weekday
913478,228,9/1/2015 5:39,Washington at Kearny,46,9/1/2015 5:43,Market at Sansome,77,351,Subscriber,94133,Weekday
913479,445,9/1/2015 5:43,Civic Center BART (7th at Market),72,9/1/2015 5:50,San Francisco Caltrain (Townsend at 4th),70,315,Subscriber,94103,Weekday
913480,649,9/1/2015 5:43,5th at Howard,57,9/1/2015 5:54,Steuart at Market,74,559,Subscriber,94112,Weekday
913481,459,9/1/2015 6:01,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 6:09,2nd at Folsom,62,579,Subscriber,94002,Weekday
913482,337,9/1/2015 6:02,Townsend at 7th,65,9/1/2015 6:07,2nd at Townsend,61,287,Subscriber,94107,Weekday
913483,518,9/1/2015 6:10,Townsend at 7th,65,9/1/2015 6:18,South Van Ness at Market,66,457,Subscriber,94107,Weekday
913484,352,9/1/2015 6:10,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 6:16,2nd at Townsend,61,589,Subscriber,94610,Weekday
913485,577,9/1/2015 6:11,Embarcadero at Sansome,60,9/1/2015 6:21,2nd at Townsend,61,502,Subscriber,94111,Weekday
913486,314,9/1/2015 6:13,Rengstorff Avenue / California Street,33,9/1/2015 6:19,San Antonio Caltrain Station,29,118,Subscriber,94040,Weekday
913487,236,9/1/2015 6:16,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 6:20,Clay at Battery,41,356,Subscriber,94611,Weekday
913488,274,9/1/2015 6:22,Washington at Kearny,46,9/1/2015 6:26,Market at 4th,76,329,Subscriber,94133,Weekday
913489,757,9/1/2015 6:21,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 6:34,Embarcadero at Folsom,51,426,Subscriber,94107,Weekday
913490,731,9/1/2015 6:22,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 6:34,Embarcadero at Folsom,51,450,Subscriber,94107,Weekday
913491,509,9/1/2015 6:22,Harry Bridges Plaza (Ferry Building),50,9/1/2015 6:30,2nd at Townsend,61,413,Subscriber,94945,Weekday
913492,189,9/1/2015 6:31,2nd at Townsend,61,9/1/2015 6:35,San Francisco Caltrain 2 (330 Townsend),69,413,Subscriber,95134,Weekday
913493,456,9/1/2015 6:32,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 6:40,Broadway St at Battery St,82,496,Subscriber,94610,Weekday
913494,647,9/1/2015 6:34,Harry Bridges Plaza (Ferry Building),50,9/1/2015 6:45,San Francisco Caltrain 2 (330 Townsend),69,620,Subscriber,94939,Weekday
913495,545,9/1/2015 6:35,Market at 10th,67,9/1/2015 6:44,Mechanics Plaza (Market at Battery),75,111,Subscriber,94102,Weekday
913496,871,9/1/2015 6:36,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 6:50,Market at 10th,67,531,Subscriber,94306,Weekday
913499,427,9/1/2015 6:44,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 6:51,Broadway St at Battery St,82,402,Subscriber,94703,Weekday
913500,735,9/1/2015 6:44,Broadway St at Battery St,82,9/1/2015 6:57,San Francisco Caltrain (Townsend at 4th),70,282,Subscriber,94133,Weekday
913503,775,9/1/2015 6:45,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 6:58,Market at 10th,67,334,Subscriber,94043,Weekday
913504,488,9/1/2015 6:45,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 6:54,Post at Kearny,47,310,Subscriber,94002,Weekday
913505,465,9/1/2015 6:46,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 6:53,Market at 4th,76,527,Subscriber,94501,Weekday
913506,901,9/1/2015 6:46,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:01,Beale at Market,56,629,Subscriber,94303,Weekday
913507,613,9/1/2015 6:46,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 6:56,Temporary Transbay Terminal (Howard at Beale),55,548,Subscriber,94070,Weekday
913510,270,9/1/2015 6:47,2nd at Townsend,61,9/1/2015 6:51,San Francisco Caltrain (Townsend at 4th),70,502,Subscriber,94107,Weekday
913512,795,9/1/2015 6:47,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:00,Steuart at Market,74,500,Subscriber,95111,Weekday
913514,338,9/1/2015 6:48,Evelyn Park and Ride,30,9/1/2015 6:53,Mountain View Caltrain Station,28,107,Subscriber,94087,Weekday
913515,185,9/1/2015 6:48,2nd at South Park,64,9/1/2015 6:51,San Francisco Caltrain (Townsend at 4th),70,277,Subscriber,94158,Weekday
913516,959,9/1/2015 6:48,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 7:04,Embarcadero at Sansome,60,137,Subscriber,95129,Weekday
913517,4238,9/1/2015 6:50,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 8:00,Townsend at 7th,65,422,Subscriber,95122,Weekday
913518,390,9/1/2015 6:52,Broadway St at Battery St,82,9/1/2015 6:59,Embarcadero at Folsom,51,496,Subscriber,94563,Weekday
913519,474,9/1/2015 6:53,Embarcadero at Sansome,60,9/1/2015 7:01,Temporary Transbay Terminal (Howard at Beale),55,409,Subscriber,94111,Weekday
913520,643,9/1/2015 6:55,Market at Sansome,77,9/1/2015 7:06,2nd at South Park,64,434,Subscriber,95973,Weekday
913521,338,9/1/2015 6:56,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 7:02,Howard at 2nd,63,413,Subscriber,94107,Weekday
913522,441,9/1/2015 6:56,Davis at Jackson,42,9/1/2015 7:03,Post at Kearny,47,672,Subscriber,94111,Weekday
913523,445,9/1/2015 6:57,Powell at Post (Union Square),71,9/1/2015 7:04,San Francisco Caltrain (Townsend at 4th),70,291,Subscriber,94109,Weekday
913525,195,9/1/2015 6:59,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 7:03,Clay at Battery,41,86,Subscriber,94501,Weekday
913526,860,9/1/2015 7:03,Embarcadero at Folsom,51,9/1/2015 7:17,Townsend at 7th,65,426,Subscriber,94501,Weekday
913527,602,9/1/2015 7:04,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 7:14,Civic Center BART (7th at Market),72,412,Subscriber,94710,Weekday
913528,570,9/1/2015 7:05,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:14,Beale at Market,56,282,Subscriber,95136,Weekday
913529,563,9/1/2015 7:05,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 7:14,Market at Sansome,77,602,Subscriber,94303,Weekday
913530,363,9/1/2015 7:05,Spear at Folsom,49,9/1/2015 7:11,Commercial at Montgomery,45,405,Subscriber,94105,Weekday
913531,1032,9/1/2015 7:06,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:23,Embarcadero at Sansome,60,277,Subscriber,94085,Weekday
913532,1057,9/1/2015 7:07,Steuart at Market,74,9/1/2015 7:24,Townsend at 7th,65,470,Subscriber,94706,Weekday
913533,811,9/1/2015 7:07,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:20,Davis at Jackson,42,502,Subscriber,94087,Weekday
913534,861,9/1/2015 7:07,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:21,Clay at Battery,41,387,Subscriber,94402,Weekday
913535,456,9/1/2015 7:07,Civic Center BART (7th at Market),72,9/1/2015 7:15,Townsend at 7th,65,370,Subscriber,94582,Weekday
913536,1517,9/1/2015 7:08,Palo Alto Caltrain Station,34,9/1/2015 7:33,Stanford in Redwood City,25,689,Subscriber,95131,Weekday
913537,578,9/1/2015 7:08,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:17,Post at Kearny,47,29,Subscriber,94401,Weekday
913538,535,9/1/2015 7:08,Harry Bridges Plaza (Ferry Building),50,9/1/2015 7:17,Embarcadero at Sansome,60,509,Subscriber,94530,Weekday
913539,729,9/1/2015 7:08,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:20,Embarcadero at Folsom,51,538,Subscriber,94402,Weekday
913540,949,9/1/2015 7:08,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:24,Clay at Battery,41,575,Subscriber,95110,Weekday
913541,820,9/1/2015 7:09,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:22,Harry Bridges Plaza (Ferry Building),50,432,Subscriber,94086,Weekday
913543,514,9/1/2015 7:09,Embarcadero at Folsom,51,9/1/2015 7:18,San Francisco Caltrain 2 (330 Townsend),69,496,Subscriber,94501,Weekday
913545,451,9/1/2015 7:11,Embarcadero at Sansome,60,9/1/2015 7:19,Harry Bridges Plaza (Ferry Building),50,385,Subscriber,94133,Weekday
913546,663,9/1/2015 7:12,Harry Bridges Plaza (Ferry Building),50,9/1/2015 7:23,San Francisco Caltrain (Townsend at 4th),70,56,Subscriber,94930,Weekday
913547,692,9/1/2015 7:10,Embarcadero at Bryant,54,9/1/2015 7:21,Townsend at 7th,65,553,Subscriber,94103,Weekday
913550,283,9/1/2015 7:14,Beale at Market,56,9/1/2015 7:19,Broadway St at Battery St,82,529,Subscriber,94610,Weekday
913551,671,9/1/2015 7:15,Mechanics Plaza (Market at Battery),75,9/1/2015 7:26,Golden Gate at Polk,59,512,Subscriber,94602,Weekday
913552,864,9/1/2015 7:16,Embarcadero at Sansome,60,9/1/2015 7:30,San Francisco Caltrain (Townsend at 4th),70,613,Subscriber,94111,Weekday
913553,388,9/1/2015 7:16,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 7:22,Market at 4th,76,548,Subscriber,94501,Weekday
913554,807,9/1/2015 7:16,Redwood City Caltrain Station,22,9/1/2015 7:29,Stanford in Redwood City,25,248,Subscriber,94070,Weekday
913556,182,9/1/2015 7:17,Market at 4th,76,9/1/2015 7:20,Market at Sansome,77,527,Subscriber,94107,Weekday
913558,744,9/1/2015 7:17,San Francisco City Hall,58,9/1/2015 7:30,Post at Kearny,47,492,Subscriber,94117,Weekday
913559,452,9/1/2015 7:18,Steuart at Market,74,9/1/2015 7:25,2nd at Townsend,61,352,Subscriber,94588,Weekday
913560,544,9/1/2015 7:18,Paseo de San Antonio,7,9/1/2015 7:27,San Jose Diridon Caltrain Station,2,679,Subscriber,94040,Weekday
913561,454,9/1/2015 7:19,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 7:26,Embarcadero at Sansome,60,409,Subscriber,94105,Weekday
913562,415,9/1/2015 7:19,Clay at Battery,41,9/1/2015 7:26,Yerba Buena Center of the Arts (3rd @ Howard),68,283,Subscriber,94301,Weekday
